periodo,valor,serie
Ene.2015,42045.738,Creditos de consumo en MN (millones S/)
Feb.2015,42544.933,Creditos de consumo en MN (millones S/)
Mar.2015,43338.889,Creditos de consumo en MN (millones S/)
Abr.2015,44036.932,Creditos de consumo en MN (millones S/)
May.2015,44868.292,Creditos de consumo en MN (millones S/)
Jun.2015,45588.918,Creditos de consumo en MN (millones S/)
Jul.2015,45698.68,Creditos de consumo en MN (millones S/)
Ago.2015,46393.872,Creditos de consumo en MN (millones S/)
Sep.2015,47106.014,Creditos de consumo en MN (millones S/)
Oct.2015,47732.659,Creditos de consumo en MN (millones S/)
Nov.2015,48446.936,Creditos de consumo en MN (millones S/)
Dic.2015,49239.047,Creditos de consumo en MN (millones S/)
Ene.2016,49365.971,Creditos de consumo en MN (millones S/)
Feb.2016,49973.687,Creditos de consumo en MN (millones S/)
Mar.2016,50152.218,Creditos de consumo en MN (millones S/)
Abr.2016,50483.113,Creditos de consumo en MN (millones S/)
May.2016,51161.867,Creditos de consumo en MN (millones S/)
Jun.2016,51744.898,Creditos de consumo en MN (millones S/)
Jul.2016,51631.858,Creditos de consumo en MN (millones S/)
Ago.2016,52112.76,Creditos de consumo en MN (millones S/)
Sep.2016,52474.818,Creditos de consumo en MN (millones S/)
Oct.2016,52870.265,Creditos de consumo en MN (millones S/)
Nov.2016,53447.816,Creditos de consumo en MN (millones S/)
Dic.2016,54064.529,Creditos de consumo en MN (millones S/)
Ene.2017,54113.281,Creditos de consumo en MN (millones S/)
Feb.2017,54393.131,Creditos de consumo en MN (millones S/)
Mar.2017,54594.024,Creditos de consumo en MN (millones S/)
Abr.2017,54760.609,Creditos de consumo en MN (millones S/)
May.2017,55355.911,Creditos de consumo en MN (millones S/)
Jun.2017,55781.953,Creditos de consumo en MN (millones S/)
Jul.2017,55722.149,Creditos de consumo en MN (millones S/)
Ago.2017,56312.876,Creditos de consumo en MN (millones S/)
Sep.2017,56815.78,Creditos de consumo en MN (millones S/)
Oct.2017,57256.08,Creditos de consumo en MN (millones S/)
Nov.2017,57984.684,Creditos de consumo en MN (millones S/)
Dic.2017,58743.66,Creditos de consumo en MN (millones S/)
Ene.2018,59028.22,Creditos de consumo en MN (millones S/)
Feb.2018,59838.39,Creditos de consumo en MN (millones S/)
Mar.2018,62466.79,Creditos de consumo en MN (millones S/)
Abr.2018,61011.19,Creditos de consumo en MN (millones S/)
May.2018,61933.31,Creditos de consumo en MN (millones S/)
Jun.2018,62576.77,Creditos de consumo en MN (millones S/)
Jul.2018,62827.03,Creditos de consumo en MN (millones S/)
Ago.2018,63755.44,Creditos de consumo en MN (millones S/)
Sep.2018,64262.8,Creditos de consumo en MN (millones S/)
Oct.2018,65201.15,Creditos de consumo en MN (millones S/)
Nov.2018,66027.58,Creditos de consumo en MN (millones S/)
Dic.2018,66852.36,Creditos de consumo en MN (millones S/)
Ene.2019,67380.04,Creditos de consumo en MN (millones S/)
Feb.2019,68092.34,Creditos de consumo en MN (millones S/)
Mar.2019,68972.98,Creditos de consumo en MN (millones S/)
Abr.2019,69582.01,Creditos de consumo en MN (millones S/)
May.2019,70370.26,Creditos de consumo en MN (millones S/)
Jun.2019,71234.62,Creditos de consumo en MN (millones S/)
Jul.2019,71670.25,Creditos de consumo en MN (millones S/)
Ago.2019,72584.88,Creditos de consumo en MN (millones S/)
Sep.2019,73466.22,Creditos de consumo en MN (millones S/)
Oct.2019,74352.17,Creditos de consumo en MN (millones S/)
Nov.2019,75318.7,Creditos de consumo en MN (millones S/)
Dic.2019,76100.91,Creditos de consumo en MN (millones S/)
Ene.2020,76643.41,Creditos de consumo en MN (millones S/)
Feb.2020,77367.22,Creditos de consumo en MN (millones S/)
Mar.2020,76565.71,Creditos de consumo en MN (millones S/)
Abr.2020,74988.65,Creditos de consumo en MN (millones S/)
May.2020,74152.81,Creditos de consumo en MN (millones S/)
Jun.2020,73085.55,Creditos de consumo en MN (millones S/)
Jul.2020,71866.22,Creditos de consumo en MN (millones S/)
Ago.2020,71331.52,Creditos de consumo en MN (millones S/)
Sep.2020,71039.88,Creditos de consumo en MN (millones S/)
Oct.2020,71191.79,Creditos de consumo en MN (millones S/)
Nov.2020,71275.04,Creditos de consumo en MN (millones S/)
Dic.2020,71178.79,Creditos de consumo en MN (millones S/)
Ene.2021,70247.16,Creditos de consumo en MN (millones S/)
Feb.2021,69208.66,Creditos de consumo en MN (millones S/)
Mar.2021,68785.4,Creditos de consumo en MN (millones S/)
Abr.2021,68806.77,Creditos de consumo en MN (millones S/)
May.2021,68525.84,Creditos de consumo en MN (millones S/)
Jun.2021,68687.94,Creditos de consumo en MN (millones S/)
Jul.2021,68426.0,Creditos de consumo en MN (millones S/)
Ago.2021,68937.46,Creditos de consumo en MN (millones S/)
Sep.2021,69384.75,Creditos de consumo en MN (millones S/)
Oct.2021,70583.9,Creditos de consumo en MN (millones S/)
Nov.2021,72329.46,Creditos de consumo en MN (millones S/)
Dic.2021,73859.78,Creditos de consumo en MN (millones S/)
Ene.2022,74811.04,Creditos de consumo en MN (millones S/)
Feb.2022,76579.08,Creditos de consumo en MN (millones S/)
Mar.2022,78879.06,Creditos de consumo en MN (millones S/)
Abr.2022,80448.43,Creditos de consumo en MN (millones S/)
May.2022,82358.98,Creditos de consumo en MN (millones S/)
Jun.2022,83982.69,Creditos de consumo en MN (millones S/)
Jul.2022,84425.93,Creditos de consumo en MN (millones S/)
Ago.2022,85513.58,Creditos de consumo en MN (millones S/)
Sep.2022,86070.18,Creditos de consumo en MN (millones S/)
Oct.2022,87399.01,Creditos de consumo en MN (millones S/)
Nov.2022,88871.75,Creditos de consumo en MN (millones S/)
Dic.2022,89928.99,Creditos de consumo en MN (millones S/)
Ene.2023,90815.36,Creditos de consumo en MN (millones S/)
Feb.2023,92010.02,Creditos de consumo en MN (millones S/)
