periodo,valor,serie
Ene.2015,74388.786064,Creditos a empresas en MN (millones S/)
Feb.2015,75259.246825,Creditos a empresas en MN (millones S/)
Mar.2015,79413.542833,Creditos a empresas en MN (millones S/)
Abr.2015,83012.296438,Creditos a empresas en MN (millones S/)
May.2015,85026.225377,Creditos a empresas en MN (millones S/)
Jun.2015,86950.689115,Creditos a empresas en MN (millones S/)
Jul.2015,89343.227525,Creditos a empresas en MN (millones S/)
Ago.2015,92787.314595,Creditos a empresas en MN (millones S/)
Sep.2015,95828.169175,Creditos a empresas en MN (millones S/)
Oct.2015,97394.625515,Creditos a empresas en MN (millones S/)
Nov.2015,100241.347485,Creditos a empresas en MN (millones S/)
Dic.2015,100259.628955,Creditos a empresas en MN (millones S/)
Ene.2016,101796.871225,Creditos a empresas en MN (millones S/)
Feb.2016,102129.335335,Creditos a empresas en MN (millones S/)
Mar.2016,102611.34088,Creditos a empresas en MN (millones S/)
Abr.2016,104056.2372,Creditos a empresas en MN (millones S/)
May.2016,102658.0407,Creditos a empresas en MN (millones S/)
Jun.2016,102865.25598,Creditos a empresas en MN (millones S/)
Jul.2016,103667.83086,Creditos a empresas en MN (millones S/)
Ago.2016,102586.38982,Creditos a empresas en MN (millones S/)
Sep.2016,102765.7209,Creditos a empresas en MN (millones S/)
Oct.2016,103399.7922,Creditos a empresas en MN (millones S/)
Nov.2016,105506.53504,Creditos a empresas en MN (millones S/)
Dic.2016,105149.87354,Creditos a empresas en MN (millones S/)
Ene.2017,104078.41364,Creditos a empresas en MN (millones S/)
Feb.2017,104081.4427,Creditos a empresas en MN (millones S/)
Mar.2017,103455.51681,Creditos a empresas en MN (millones S/)
Abr.2017,103597.23884,Creditos a empresas en MN (millones S/)
May.2017,103217.61606,Creditos a empresas en MN (millones S/)
Jun.2017,103467.94834,Creditos a empresas en MN (millones S/)
Jul.2017,104281.13915,Creditos a empresas en MN (millones S/)
Ago.2017,104587.09788,Creditos a empresas en MN (millones S/)
Sep.2017,105074.52173,Creditos a empresas en MN (millones S/)
Oct.2017,105335.43252,Creditos a empresas en MN (millones S/)
Nov.2017,106124.27228,Creditos a empresas en MN (millones S/)
Dic.2017,106798.06348,Creditos a empresas en MN (millones S/)
Ene.2018,106640.27082,Creditos a empresas en MN (millones S/)
Feb.2018,106949.0539,Creditos a empresas en MN (millones S/)
Mar.2018,103572.76733,Creditos a empresas en MN (millones S/)
Abr.2018,109414.61724,Creditos a empresas en MN (millones S/)
May.2018,109621.68376,Creditos a empresas en MN (millones S/)
Jun.2018,110084.95961,Creditos a empresas en MN (millones S/)
Jul.2018,111076.25595,Creditos a empresas en MN (millones S/)
Ago.2018,111457.68537,Creditos a empresas en MN (millones S/)
Sep.2018,112783.894141,Creditos a empresas en MN (millones S/)
Oct.2018,114322.644601,Creditos a empresas en MN (millones S/)
Nov.2018,115200.339251,Creditos a empresas en MN (millones S/)
Dic.2018,117200.898707,Creditos a empresas en MN (millones S/)
Ene.2019,116817.971339,Creditos a empresas en MN (millones S/)
Feb.2019,116408.787899,Creditos a empresas en MN (millones S/)
Mar.2019,117524.309169,Creditos a empresas en MN (millones S/)
Abr.2019,117647.688389,Creditos a empresas en MN (millones S/)
May.2019,118204.813949,Creditos a empresas en MN (millones S/)
Jun.2019,118905.217884,Creditos a empresas en MN (millones S/)
Jul.2019,119621.313774,Creditos a empresas en MN (millones S/)
Ago.2019,120493.058554,Creditos a empresas en MN (millones S/)
Sep.2019,120520.000719,Creditos a empresas en MN (millones S/)
Oct.2019,123085.097009,Creditos a empresas en MN (millones S/)
Nov.2019,123678.350024,Creditos a empresas en MN (millones S/)
Dic.2019,124496.670918,Creditos a empresas en MN (millones S/)
Ene.2020,123605.091718,Creditos a empresas en MN (millones S/)
Feb.2020,124775.093333,Creditos a empresas en MN (millones S/)
Mar.2020,127639.643431,Creditos a empresas en MN (millones S/)
Abr.2020,130425.362838,Creditos a empresas en MN (millones S/)
May.2020,152969.113861,Creditos a empresas en MN (millones S/)
Jun.2020,157798.26925,Creditos a empresas en MN (millones S/)
Jul.2020,165614.958987,Creditos a empresas en MN (millones S/)
Ago.2020,172526.985348,Creditos a empresas en MN (millones S/)
Sep.2020,175122.503736,Creditos a empresas en MN (millones S/)
Oct.2020,175557.913957,Creditos a empresas en MN (millones S/)
Nov.2020,176164.6269,Creditos a empresas en MN (millones S/)
Dic.2020,175233.688347,Creditos a empresas en MN (millones S/)
Ene.2021,174463.567182,Creditos a empresas en MN (millones S/)
Feb.2021,172531.955839,Creditos a empresas en MN (millones S/)
Mar.2021,175085.165998,Creditos a empresas en MN (millones S/)
Abr.2021,176343.840565,Creditos a empresas en MN (millones S/)
May.2021,177780.788086,Creditos a empresas en MN (millones S/)
Jun.2021,178508.691212,Creditos a empresas en MN (millones S/)
Jul.2021,181097.720227,Creditos a empresas en MN (millones S/)
Ago.2021,181388.192384,Creditos a empresas en MN (millones S/)
Sep.2021,183283.022757,Creditos a empresas en MN (millones S/)
Oct.2021,183912.171953,Creditos a empresas en MN (millones S/)
Nov.2021,184431.166158,Creditos a empresas en MN (millones S/)
Dic.2021,183215.43183,Creditos a empresas en MN (millones S/)
Ene.2022,181021.985503,Creditos a empresas en MN (millones S/)
Feb.2022,181965.010202,Creditos a empresas en MN (millones S/)
Mar.2022,181669.822699,Creditos a empresas en MN (millones S/)
Abr.2022,179324.940085,Creditos a empresas en MN (millones S/)
May.2022,177970.222223,Creditos a empresas en MN (millones S/)
Jun.2022,176753.14827,Creditos a empresas en MN (millones S/)
Jul.2022,176420.33514,Creditos a empresas en MN (millones S/)
Ago.2022,174203.351118,Creditos a empresas en MN (millones S/)
Sep.2022,173399.184022,Creditos a empresas en MN (millones S/)
Oct.2022,172530.279012,Creditos a empresas en MN (millones S/)
Nov.2022,172136.220308,Creditos a empresas en MN (millones S/)
Dic.2022,169120.823963,Creditos a empresas en MN (millones S/)
Ene.2023,165640.689838,Creditos a empresas en MN (millones S/)
Feb.2023,162692.738391,Creditos a empresas en MN (millones S/)
Mar.2023,164256.698308,Creditos a empresas en MN (millones S/)
Abr.2023,164184.573482,Creditos a empresas en MN (millones S/)
May.2023,162388.024602,Creditos a empresas en MN (millones S/)
Jun.2023,160921.785517,Creditos a empresas en MN (millones S/)
Jul.2023,161646.336361,Creditos a empresas en MN (millones S/)
Ago.2023,160526.752078,Creditos a empresas en MN (millones S/)
Sep.2023,159330.519074,Creditos a empresas en MN (millones S/)
Oct.2023,160069.406769,Creditos a empresas en MN (millones S/)
Nov.2023,160746.979386,Creditos a empresas en MN (millones S/)
Dic.2023,161095.667393,Creditos a empresas en MN (millones S/)
Ene.2024,157978.802419,Creditos a empresas en MN (millones S/)
Feb.2024,156576.525476,Creditos a empresas en MN (millones S/)
Mar.2024,158055.962144,Creditos a empresas en MN (millones S/)
Abr.2024,159261.009861,Creditos a empresas en MN (millones S/)
May.2024,161305.769962,Creditos a empresas en MN (millones S/)
Jun.2024,162520.933564,Creditos a empresas en MN (millones S/)
Jul.2024,160589.028459,Creditos a empresas en MN (millones S/)
Ago.2024,162252.674688,Creditos a empresas en MN (millones S/)
Sep.2024,161499.358362,Creditos a empresas en MN (millones S/)
Oct.2024,161732.23858,Creditos a empresas en MN (millones S/)
Nov.2024,163298.968593,Creditos a empresas en MN (millones S/)
Dic.2024,162447.026508,Creditos a empresas en MN (millones S/)
Ene.2025,160672.357388,Creditos a empresas en MN (millones S/)
Feb.2025,160754.69893,Creditos a empresas en MN (millones S/)
Mar.2025,161290.46934,Creditos a empresas en MN (millones S/)
Abr.2025,161933.891069,Creditos a empresas en MN (millones S/)
May.2025,163661.53625,Creditos a empresas en MN (millones S/)
Jun.2025,162455.760159,Creditos a empresas en MN (millones S/)
Jul.2025,164320.829299,Creditos a empresas en MN (millones S/)
Ago.2025,165148.630888,Creditos a empresas en MN (millones S/)
Sep.2025,163984.19427,Creditos a empresas en MN (millones S/)
Oct.2025,164413.149318,Creditos a empresas en MN (millones S/)
Nov.2025,166350.918191,Creditos a empresas en MN (millones S/)
Dic.2025,167103.075179,Creditos a empresas en MN (millones S/)
