periodo,valor,serie
Ene.2015,23147.776,Creditos hipotecarios en MN (millones S/)
Feb.2015,23555.649,Creditos hipotecarios en MN (millones S/)
Mar.2015,24185.499,Creditos hipotecarios en MN (millones S/)
Abr.2015,24714.449,Creditos hipotecarios en MN (millones S/)
May.2015,25286.911,Creditos hipotecarios en MN (millones S/)
Jun.2015,25680.994,Creditos hipotecarios en MN (millones S/)
Jul.2015,26040.582,Creditos hipotecarios en MN (millones S/)
Ago.2015,26620.198,Creditos hipotecarios en MN (millones S/)
Sep.2015,27272.715,Creditos hipotecarios en MN (millones S/)
Oct.2015,27663.877,Creditos hipotecarios en MN (millones S/)
Nov.2015,28091.908,Creditos hipotecarios en MN (millones S/)
Dic.2015,28489.296,Creditos hipotecarios en MN (millones S/)
Ene.2016,28767.031,Creditos hipotecarios en MN (millones S/)
Feb.2016,29096.119,Creditos hipotecarios en MN (millones S/)
Mar.2016,29519.017,Creditos hipotecarios en MN (millones S/)
Abr.2016,29833.697,Creditos hipotecarios en MN (millones S/)
May.2016,30161.646,Creditos hipotecarios en MN (millones S/)
Jun.2016,30563.567,Creditos hipotecarios en MN (millones S/)
Jul.2016,30737.054,Creditos hipotecarios en MN (millones S/)
Ago.2016,30974.767,Creditos hipotecarios en MN (millones S/)
Sep.2016,31124.611,Creditos hipotecarios en MN (millones S/)
Oct.2016,31127.699,Creditos hipotecarios en MN (millones S/)
Nov.2016,31252.481,Creditos hipotecarios en MN (millones S/)
Dic.2016,31535.656,Creditos hipotecarios en MN (millones S/)
Ene.2017,31684.809,Creditos hipotecarios en MN (millones S/)
Feb.2017,31958.465,Creditos hipotecarios en MN (millones S/)
Mar.2017,32338.535,Creditos hipotecarios en MN (millones S/)
Abr.2017,32519.431,Creditos hipotecarios en MN (millones S/)
May.2017,32844.972,Creditos hipotecarios en MN (millones S/)
Jun.2017,33188.771,Creditos hipotecarios en MN (millones S/)
Jul.2017,33372.465,Creditos hipotecarios en MN (millones S/)
Ago.2017,33669.405,Creditos hipotecarios en MN (millones S/)
Sep.2017,34083.602,Creditos hipotecarios en MN (millones S/)
Oct.2017,34589.027,Creditos hipotecarios en MN (millones S/)
Nov.2017,35265.525,Creditos hipotecarios en MN (millones S/)
Dic.2017,35334.941,Creditos hipotecarios en MN (millones S/)
Ene.2018,35580.22,Creditos hipotecarios en MN (millones S/)
Feb.2018,35992.24,Creditos hipotecarios en MN (millones S/)
Mar.2018,38522.82,Creditos hipotecarios en MN (millones S/)
Abr.2018,36642.08,Creditos hipotecarios en MN (millones S/)
May.2018,37135.44,Creditos hipotecarios en MN (millones S/)
Jun.2018,37619.62,Creditos hipotecarios en MN (millones S/)
Jul.2018,37839.36,Creditos hipotecarios en MN (millones S/)
Ago.2018,38243.84,Creditos hipotecarios en MN (millones S/)
Sep.2018,38740.61,Creditos hipotecarios en MN (millones S/)
Oct.2018,39224.99,Creditos hipotecarios en MN (millones S/)
Nov.2018,39684.04,Creditos hipotecarios en MN (millones S/)
Dic.2018,40110.09,Creditos hipotecarios en MN (millones S/)
Ene.2019,40381.32,Creditos hipotecarios en MN (millones S/)
Feb.2019,40725.3,Creditos hipotecarios en MN (millones S/)
Mar.2019,41262.18,Creditos hipotecarios en MN (millones S/)
Abr.2019,41576.39,Creditos hipotecarios en MN (millones S/)
May.2019,42076.39,Creditos hipotecarios en MN (millones S/)
Jun.2019,42646.37,Creditos hipotecarios en MN (millones S/)
Jul.2019,42880.36,Creditos hipotecarios en MN (millones S/)
Ago.2019,43327.81,Creditos hipotecarios en MN (millones S/)
Sep.2019,43895.91,Creditos hipotecarios en MN (millones S/)
Oct.2019,44391.65,Creditos hipotecarios en MN (millones S/)
Nov.2019,44897.59,Creditos hipotecarios en MN (millones S/)
Dic.2019,45339.45,Creditos hipotecarios en MN (millones S/)
Ene.2020,45732.1,Creditos hipotecarios en MN (millones S/)
Feb.2020,46265.08,Creditos hipotecarios en MN (millones S/)
Mar.2020,46078.67,Creditos hipotecarios en MN (millones S/)
Abr.2020,45963.75,Creditos hipotecarios en MN (millones S/)
May.2020,45963.23,Creditos hipotecarios en MN (millones S/)
Jun.2020,45864.8,Creditos hipotecarios en MN (millones S/)
Jul.2020,45778.49,Creditos hipotecarios en MN (millones S/)
Ago.2020,45920.58,Creditos hipotecarios en MN (millones S/)
Sep.2020,46371.76,Creditos hipotecarios en MN (millones S/)
Oct.2020,46802.57,Creditos hipotecarios en MN (millones S/)
Nov.2020,47306.78,Creditos hipotecarios en MN (millones S/)
Dic.2020,47737.26,Creditos hipotecarios en MN (millones S/)
Ene.2021,48184.57,Creditos hipotecarios en MN (millones S/)
Feb.2021,48714.8,Creditos hipotecarios en MN (millones S/)
