periodo,valor,serie
Ene.2015,33124.81,Creditos en moneda extranjera al sector privado (millones US$)
Feb.2015,32750.81,Creditos en moneda extranjera al sector privado (millones US$)
Mar.2015,31770.18,Creditos en moneda extranjera al sector privado (millones US$)
Abr.2015,31355.55,Creditos en moneda extranjera al sector privado (millones US$)
May.2015,31090.77,Creditos en moneda extranjera al sector privado (millones US$)
Jun.2015,30395.95,Creditos en moneda extranjera al sector privado (millones US$)
Jul.2015,30034.1,Creditos en moneda extranjera al sector privado (millones US$)
Ago.2015,29655.65,Creditos en moneda extranjera al sector privado (millones US$)
Sep.2015,29247.79,Creditos en moneda extranjera al sector privado (millones US$)
Oct.2015,29016.5,Creditos en moneda extranjera al sector privado (millones US$)
Nov.2015,28567.73,Creditos en moneda extranjera al sector privado (millones US$)
Dic.2015,28104.1,Creditos en moneda extranjera al sector privado (millones US$)
Ene.2016,27607.47,Creditos en moneda extranjera al sector privado (millones US$)
Feb.2016,27472.58,Creditos en moneda extranjera al sector privado (millones US$)
Mar.2016,27642.8,Creditos en moneda extranjera al sector privado (millones US$)
Abr.2016,27473.72,Creditos en moneda extranjera al sector privado (millones US$)
May.2016,27241.3,Creditos en moneda extranjera al sector privado (millones US$)
Jun.2016,27668.37,Creditos en moneda extranjera al sector privado (millones US$)
Jul.2016,27933.29,Creditos en moneda extranjera al sector privado (millones US$)
Ago.2016,28143.09,Creditos en moneda extranjera al sector privado (millones US$)
Sep.2016,28336.14,Creditos en moneda extranjera al sector privado (millones US$)
Oct.2016,28137.61,Creditos en moneda extranjera al sector privado (millones US$)
Nov.2016,27738.97,Creditos en moneda extranjera al sector privado (millones US$)
Dic.2016,28241.95,Creditos en moneda extranjera al sector privado (millones US$)
Ene.2017,28000.700006,Creditos en moneda extranjera al sector privado (millones US$)
Feb.2017,28099.400015,Creditos en moneda extranjera al sector privado (millones US$)
Mar.2017,28021.599991,Creditos en moneda extranjera al sector privado (millones US$)
Abr.2017,28210.404013,Creditos en moneda extranjera al sector privado (millones US$)
May.2017,28306.970987,Creditos en moneda extranjera al sector privado (millones US$)
Jun.2017,28312.017006,Creditos en moneda extranjera al sector privado (millones US$)
Jul.2017,28618.300012,Creditos en moneda extranjera al sector privado (millones US$)
Ago.2017,29247.627003,Creditos en moneda extranjera al sector privado (millones US$)
Sep.2017,29655.133986,Creditos en moneda extranjera al sector privado (millones US$)
Oct.2017,29696.351988,Creditos en moneda extranjera al sector privado (millones US$)
Nov.2017,30162.576012,Creditos en moneda extranjera al sector privado (millones US$)
Dic.2017,30409.421992,Creditos en moneda extranjera al sector privado (millones US$)
Ene.2018,30084.299992,Creditos en moneda extranjera al sector privado (millones US$)
Feb.2018,30106.257001,Creditos en moneda extranjera al sector privado (millones US$)
Mar.2018,30295.702006,Creditos en moneda extranjera al sector privado (millones US$)
Abr.2018,30407.326306,Creditos en moneda extranjera al sector privado (millones US$)
May.2018,30991.681464,Creditos en moneda extranjera al sector privado (millones US$)
Jun.2018,30395.156581,Creditos en moneda extranjera al sector privado (millones US$)
Jul.2018,30487.885585,Creditos en moneda extranjera al sector privado (millones US$)
Ago.2018,30590.552161,Creditos en moneda extranjera al sector privado (millones US$)
Sep.2018,30590.377014,Creditos en moneda extranjera al sector privado (millones US$)
Oct.2018,30317.18902,Creditos en moneda extranjera al sector privado (millones US$)
Nov.2018,30686.737556,Creditos en moneda extranjera al sector privado (millones US$)
Dic.2018,30780.967014,Creditos en moneda extranjera al sector privado (millones US$)
Ene.2019,30193.82,Creditos en moneda extranjera al sector privado (millones US$)
Feb.2019,29954.29,Creditos en moneda extranjera al sector privado (millones US$)
Mar.2019,30349.16,Creditos en moneda extranjera al sector privado (millones US$)
Abr.2019,30335.39,Creditos en moneda extranjera al sector privado (millones US$)
May.2019,30536.79,Creditos en moneda extranjera al sector privado (millones US$)
Jun.2019,30557.85,Creditos en moneda extranjera al sector privado (millones US$)
Jul.2019,30591.09,Creditos en moneda extranjera al sector privado (millones US$)
Ago.2019,30899.36,Creditos en moneda extranjera al sector privado (millones US$)
Sep.2019,30748.35,Creditos en moneda extranjera al sector privado (millones US$)
Oct.2019,30916.57,Creditos en moneda extranjera al sector privado (millones US$)
Nov.2019,30931.18,Creditos en moneda extranjera al sector privado (millones US$)
Dic.2019,30564.02,Creditos en moneda extranjera al sector privado (millones US$)
Ene.2020,30482.05,Creditos en moneda extranjera al sector privado (millones US$)
Feb.2020,30891.76,Creditos en moneda extranjera al sector privado (millones US$)
Mar.2020,31531.15,Creditos en moneda extranjera al sector privado (millones US$)
Abr.2020,31407.06,Creditos en moneda extranjera al sector privado (millones US$)
May.2020,30780.12,Creditos en moneda extranjera al sector privado (millones US$)
Jun.2020,30129.8,Creditos en moneda extranjera al sector privado (millones US$)
Jul.2020,29764.71,Creditos en moneda extranjera al sector privado (millones US$)
Ago.2020,29064.96,Creditos en moneda extranjera al sector privado (millones US$)
Sep.2020,28296.26,Creditos en moneda extranjera al sector privado (millones US$)
Oct.2020,28387.63,Creditos en moneda extranjera al sector privado (millones US$)
Nov.2020,28169.5,Creditos en moneda extranjera al sector privado (millones US$)
Dic.2020,27820.6857081006,Creditos en moneda extranjera al sector privado (millones US$)
Ene.2021,27590.4878733954,Creditos en moneda extranjera al sector privado (millones US$)
Feb.2021,27581.5371154718,Creditos en moneda extranjera al sector privado (millones US$)
Mar.2021,27493.7616954987,Creditos en moneda extranjera al sector privado (millones US$)
Abr.2021,27915.3358748999,Creditos en moneda extranjera al sector privado (millones US$)
May.2021,28531.1012433813,Creditos en moneda extranjera al sector privado (millones US$)
Jun.2021,28604.0766792715,Creditos en moneda extranjera al sector privado (millones US$)
Jul.2021,28591.2337810611,Creditos en moneda extranjera al sector privado (millones US$)
Ago.2021,27728.4860089243,Creditos en moneda extranjera al sector privado (millones US$)
Sep.2021,27054.6574641983,Creditos en moneda extranjera al sector privado (millones US$)
Oct.2021,27091.8699294022,Creditos en moneda extranjera al sector privado (millones US$)
Nov.2021,27035.0779801337,Creditos en moneda extranjera al sector privado (millones US$)
Dic.2021,27323.4028702451,Creditos en moneda extranjera al sector privado (millones US$)
Ene.2022,27075.4279000565,Creditos en moneda extranjera al sector privado (millones US$)
Feb.2022,27399.5493949777,Creditos en moneda extranjera al sector privado (millones US$)
Mar.2022,27895.2004750888,Creditos en moneda extranjera al sector privado (millones US$)
Abr.2022,28122.8189668408,Creditos en moneda extranjera al sector privado (millones US$)
May.2022,28693.0604610596,Creditos en moneda extranjera al sector privado (millones US$)
Jun.2022,29130.9829104544,Creditos en moneda extranjera al sector privado (millones US$)
Jul.2022,29946.1763464316,Creditos en moneda extranjera al sector privado (millones US$)
Ago.2022,29770.3337545758,Creditos en moneda extranjera al sector privado (millones US$)
Sep.2022,29431.2007116592,Creditos en moneda extranjera al sector privado (millones US$)
Oct.2022,29493.9979390976,Creditos en moneda extranjera al sector privado (millones US$)
Nov.2022,29548.0093333066,Creditos en moneda extranjera al sector privado (millones US$)
Dic.2022,29596.5224322897,Creditos en moneda extranjera al sector privado (millones US$)
Ene.2023,29583.0040114328,Creditos en moneda extranjera al sector privado (millones US$)
Feb.2023,29603.8656632382,Creditos en moneda extranjera al sector privado (millones US$)
Mar.2023,30024.2321862656,Creditos en moneda extranjera al sector privado (millones US$)
Abr.2023,30244.7935480496,Creditos en moneda extranjera al sector privado (millones US$)
May.2023,30113.8829265021,Creditos en moneda extranjera al sector privado (millones US$)
Jun.2023,30206.4292792581,Creditos en moneda extranjera al sector privado (millones US$)
Jul.2023,29905.4322262601,Creditos en moneda extranjera al sector privado (millones US$)
Ago.2023,30183.4286198572,Creditos en moneda extranjera al sector privado (millones US$)
Sep.2023,30458.8595135266,Creditos en moneda extranjera al sector privado (millones US$)
Oct.2023,29948.8467457349,Creditos en moneda extranjera al sector privado (millones US$)
Nov.2023,29899.1865055615,Creditos en moneda extranjera al sector privado (millones US$)
Dic.2023,30196.3354780835,Creditos en moneda extranjera al sector privado (millones US$)
Ene.2024,29760.9045974316,Creditos en moneda extranjera al sector privado (millones US$)
Feb.2024,29188.382868916,Creditos en moneda extranjera al sector privado (millones US$)
Mar.2024,29688.8978624841,Creditos en moneda extranjera al sector privado (millones US$)
Abr.2024,29686.4264378442,Creditos en moneda extranjera al sector privado (millones US$)
May.2024,29705.8681667725,Creditos en moneda extranjera al sector privado (millones US$)
Jun.2024,29489.4197987,Creditos en moneda extranjera al sector privado (millones US$)
Jul.2024,29534.3824451843,Creditos en moneda extranjera al sector privado (millones US$)
Ago.2024,29324.8083294312,Creditos en moneda extranjera al sector privado (millones US$)
Sep.2024,29369.8515564734,Creditos en moneda extranjera al sector privado (millones US$)
Oct.2024,28998.1602666077,Creditos en moneda extranjera al sector privado (millones US$)
Nov.2024,28993.3227533557,Creditos en moneda extranjera al sector privado (millones US$)
Dic.2024,29071.8814904028,Creditos en moneda extranjera al sector privado (millones US$)
Ene.2025,29143.3966118066,Creditos en moneda extranjera al sector privado (millones US$)
Feb.2025,29405.4378890808,Creditos en moneda extranjera al sector privado (millones US$)
Mar.2025,29512.7408637817,Creditos en moneda extranjera al sector privado (millones US$)
Abr.2025,29848.1531789746,Creditos en moneda extranjera al sector privado (millones US$)
May.2025,30449.6279238489,Creditos en moneda extranjera al sector privado (millones US$)
Jun.2025,31018.1867740186,Creditos en moneda extranjera al sector privado (millones US$)
Jul.2025,31175.5065338257,Creditos en moneda extranjera al sector privado (millones US$)
Ago.2025,31539.5997818335,Creditos en moneda extranjera al sector privado (millones US$)
Sep.2025,31855.4891697437,Creditos en moneda extranjera al sector privado (millones US$)
Oct.2025,32060.1428418042,Creditos en moneda extranjera al sector privado (millones US$)
Nov.2025,32241.8343159924,Creditos en moneda extranjera al sector privado (millones US$)
Dic.2025,32799.4696659924,Creditos en moneda extranjera al sector privado (millones US$)
