periodo,valor,serie
Ene.2015,154690.63,Creditos en moneda nacional al sector privado (millones S/)
Feb.2015,157167.46,Creditos en moneda nacional al sector privado (millones S/)
Mar.2015,162829.88,Creditos en moneda nacional al sector privado (millones S/)
Abr.2015,167594.81,Creditos en moneda nacional al sector privado (millones S/)
May.2015,171387.19,Creditos en moneda nacional al sector privado (millones S/)
Jun.2015,174424.46,Creditos en moneda nacional al sector privado (millones S/)
Jul.2015,177522.52,Creditos en moneda nacional al sector privado (millones S/)
Ago.2015,181857.58,Creditos en moneda nacional al sector privado (millones S/)
Sep.2015,186514.16,Creditos en moneda nacional al sector privado (millones S/)
Oct.2015,189590.62,Creditos en moneda nacional al sector privado (millones S/)
Nov.2015,193256.61,Creditos en moneda nacional al sector privado (millones S/)
Dic.2015,195019.07,Creditos en moneda nacional al sector privado (millones S/)
Ene.2016,196693.97,Creditos en moneda nacional al sector privado (millones S/)
Feb.2016,198071.85,Creditos en moneda nacional al sector privado (millones S/)
Mar.2016,199699.12,Creditos en moneda nacional al sector privado (millones S/)
Abr.2016,201376.47,Creditos en moneda nacional al sector privado (millones S/)
May.2016,200629.99,Creditos en moneda nacional al sector privado (millones S/)
Jun.2016,202241.28,Creditos en moneda nacional al sector privado (millones S/)
Jul.2016,203634.21,Creditos en moneda nacional al sector privado (millones S/)
Ago.2016,203726.42,Creditos en moneda nacional al sector privado (millones S/)
Sep.2016,204345.55,Creditos en moneda nacional al sector privado (millones S/)
Oct.2016,206005.42,Creditos en moneda nacional al sector privado (millones S/)
Nov.2016,208783.41,Creditos en moneda nacional al sector privado (millones S/)
Dic.2016,209403.39,Creditos en moneda nacional al sector privado (millones S/)
Ene.2017,208970.6,Creditos en moneda nacional al sector privado (millones S/)
Feb.2017,209620.6,Creditos en moneda nacional al sector privado (millones S/)
Mar.2017,210238.7,Creditos en moneda nacional al sector privado (millones S/)
Abr.2017,211258.494,Creditos en moneda nacional al sector privado (millones S/)
May.2017,211815.144,Creditos en moneda nacional al sector privado (millones S/)
Jun.2017,213307.726,Creditos en moneda nacional al sector privado (millones S/)
Jul.2017,214388.5,Creditos en moneda nacional al sector privado (millones S/)
Ago.2017,216543.234,Creditos en moneda nacional al sector privado (millones S/)
Sep.2017,218087.561,Creditos en moneda nacional al sector privado (millones S/)
Oct.2017,218848.795,Creditos en moneda nacional al sector privado (millones S/)
Nov.2017,220873.525,Creditos en moneda nacional al sector privado (millones S/)
Dic.2017,222567.529,Creditos en moneda nacional al sector privado (millones S/)
Ene.2018,221882.8,Creditos en moneda nacional al sector privado (millones S/)
Feb.2018,223303.157,Creditos en moneda nacional al sector privado (millones S/)
Mar.2018,225467.136,Creditos en moneda nacional al sector privado (millones S/)
Abr.2018,228290.272,Creditos en moneda nacional al sector privado (millones S/)
May.2018,230494.211477,Creditos en moneda nacional al sector privado (millones S/)
Jun.2018,232173.657,Creditos en moneda nacional al sector privado (millones S/)
Jul.2018,234181.049,Creditos en moneda nacional al sector privado (millones S/)
Ago.2018,235149.091,Creditos en moneda nacional al sector privado (millones S/)
Sep.2018,238052.767,Creditos en moneda nacional al sector privado (millones S/)
Oct.2018,241024.997,Creditos en moneda nacional al sector privado (millones S/)
Nov.2018,243356.523667,Creditos en moneda nacional al sector privado (millones S/)
Dic.2018,246160.766,Creditos en moneda nacional al sector privado (millones S/)
Ene.2019,248062.51,Creditos en moneda nacional al sector privado (millones S/)
Feb.2019,249115.54,Creditos en moneda nacional al sector privado (millones S/)
Mar.2019,252281.44,Creditos en moneda nacional al sector privado (millones S/)
Abr.2019,254701.58,Creditos en moneda nacional al sector privado (millones S/)
May.2019,256857.31,Creditos en moneda nacional al sector privado (millones S/)
Jun.2019,259048.66,Creditos en moneda nacional al sector privado (millones S/)
Jul.2019,260976.22,Creditos en moneda nacional al sector privado (millones S/)
Ago.2019,263182.13,Creditos en moneda nacional al sector privado (millones S/)
Sep.2019,265271.02,Creditos en moneda nacional al sector privado (millones S/)
Oct.2019,269287.72,Creditos en moneda nacional al sector privado (millones S/)
Nov.2019,271462.03,Creditos en moneda nacional al sector privado (millones S/)
Dic.2019,273295.95,Creditos en moneda nacional al sector privado (millones S/)
Ene.2020,273488.96,Creditos en moneda nacional al sector privado (millones S/)
Feb.2020,275705.14,Creditos en moneda nacional al sector privado (millones S/)
Mar.2020,277103.45,Creditos en moneda nacional al sector privado (millones S/)
Abr.2020,278483.28,Creditos en moneda nacional al sector privado (millones S/)
