periodo,valor,serie
Ene.2015,256052.55,Creditos del sistema financiero al sector privado (millones S/)
Feb.2015,258367.46,Creditos del sistema financiero al sector privado (millones S/)
Mar.2015,261317.44,Creditos del sistema financiero al sector privado (millones S/)
Abr.2015,265737.69,Creditos del sistema financiero al sector privado (millones S/)
May.2015,269634.02,Creditos del sistema financiero al sector privado (millones S/)
Jun.2015,271083.57,Creditos del sistema financiero al sector privado (millones S/)
Jul.2015,273331.29,Creditos del sistema financiero al sector privado (millones S/)
Ago.2015,277941.89,Creditos del sistema financiero al sector privado (millones S/)
Sep.2015,280692.03,Creditos del sistema financiero al sector privado (millones S/)
Oct.2015,285054.91,Creditos del sistema financiero al sector privado (millones S/)
Nov.2015,289529.87,Creditos del sistema financiero al sector privado (millones S/)
Dic.2015,290854.05,Creditos del sistema financiero al sector privado (millones S/)
Ene.2016,292491.87,Creditos del sistema financiero al sector privado (millones S/)
Feb.2016,294775.32,Creditos del sistema financiero al sector privado (millones S/)
Mar.2016,291749.63,Creditos del sistema financiero al sector privado (millones S/)
Abr.2016,291490.26,Creditos del sistema financiero al sector privado (millones S/)
May.2016,292433.18,Creditos del sistema financiero al sector privado (millones S/)
Jun.2016,293270.22,Creditos del sistema financiero al sector privado (millones S/)
Jul.2016,297490.08,Creditos del sistema financiero al sector privado (millones S/)
Ago.2016,299131.5,Creditos del sistema financiero al sector privado (millones S/)
Sep.2016,300688.44,Creditos del sistema financiero al sector privado (millones S/)
Oct.2016,300547.79,Creditos del sistema financiero al sector privado (millones S/)
Nov.2016,303373.31,Creditos del sistema financiero al sector privado (millones S/)
Dic.2016,304296.35,Creditos del sistema financiero al sector privado (millones S/)
Ene.2017,300812.89601968,Creditos del sistema financiero al sector privado (millones S/)
Feb.2017,301224.6440489,Creditos del sistema financiero al sector privado (millones S/)
Mar.2017,301308.89997075,Creditos del sistema financiero al sector privado (millones S/)
Abr.2017,302660.20300212,Creditos del sistema financiero al sector privado (millones S/)
May.2017,304378.93912749,Creditos del sistema financiero al sector privado (millones S/)
Jun.2017,305321.7812695,Creditos del sistema financiero al sector privado (millones S/)
Jul.2017,307111.79203888,Creditos del sistema financiero al sector privado (millones S/)
Ago.2017,311305.54548972,Creditos del sistema financiero al sector privado (millones S/)
Sep.2017,315059.84913422,Creditos del sistema financiero al sector privado (millones S/)
