periodo,valor,serie
Ene.2015,81.1993626774653,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Feb.2015,81.2951207699453,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Mar.2015,82.0783823468902,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Abr.2015,82.3318293593807,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
May.2015,82.838029023658,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Jun.2015,83.218377323882,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Jul.2015,83.7394084117124,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Ago.2015,83.8836789624729,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Sep.2015,83.8992289631998,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Oct.2015,83.9795426527327,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Nov.2015,84.0416844429721,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Dic.2015,84.4475371101509,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Ene.2016,84.4953394903072,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Feb.2016,84.778454239768,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Mar.2016,85.2803084448044,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Abr.2016,85.1262341822006,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
May.2016,85.4588990889617,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Jun.2016,85.7153724616363,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Jul.2016,85.8692780239282,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Ago.2016,86.0575169521052,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Sep.2016,86.198566828796,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Oct.2016,86.3631035377941,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Nov.2016,86.6550011817521,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Dic.2016,87.00321259648,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Ene.2017,87.0967751399737,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Feb.2017,87.060466152562,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Mar.2017,87.7077685506327,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Abr.2017,87.7737770591313,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
May.2017,87.6485447285895,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Jun.2017,87.6838638677945,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Jul.2017,87.806217349053,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Ago.2017,88.226963145213,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Sep.2017,88.3357333989457,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Oct.2017,88.3562937640073,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Nov.2017,88.5088040850726,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Dic.2017,88.8193517871791,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Ene.2018,88.8067832064565,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Feb.2018,89.1209080770116,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Mar.2018,89.8300999716185,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Abr.2018,89.8532184341627,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
May.2018,89.856650303792,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Jun.2018,90.1071984418415,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Jul.2018,90.3710766987364,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Ago.2018,90.4662137784742,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Sep.2018,90.5119060658408,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Oct.2018,90.5992090011445,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Nov.2018,90.6520075417446,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Dic.2018,90.9127928431632,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Ene.2019,91.0535887961962,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Feb.2019,91.2151499064568,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Mar.2019,92.0572281660448,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Abr.2019,92.1514828581611,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
May.2019,92.2961407560145,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Jun.2019,92.3143953172966,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Jul.2019,92.44438222571,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Ago.2019,92.4683388342481,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Sep.2019,92.4440010491599,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Oct.2019,92.7565671008914,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Nov.2019,92.9177767230626,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Dic.2019,93.1885415385818,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Ene.2020,93.2428567520339,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Feb.2020,93.2907819609197,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Mar.2020,93.6070721098737,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
Abr.2020,93.7535032820198,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
May.2020,93.7256055594328,Indice de Precios al Consumidor Lima Metropolitana (Dic.2021=100)
