periodo,valor,serie
Ene.2015,5.5094,Tasa activa corporativos hasta 360 dias (%)
Feb.2015,4.9619,Tasa activa corporativos hasta 360 dias (%)
Mar.2015,4.8475,Tasa activa corporativos hasta 360 dias (%)
Abr.2015,4.7622,Tasa activa corporativos hasta 360 dias (%)
May.2015,4.686,Tasa activa corporativos hasta 360 dias (%)
Jun.2015,4.6627,Tasa activa corporativos hasta 360 dias (%)
Jul.2015,4.6485,Tasa activa corporativos hasta 360 dias (%)
Ago.2015,4.7472,Tasa activa corporativos hasta 360 dias (%)
Sep.2015,5.0522,Tasa activa corporativos hasta 360 dias (%)
Oct.2015,5.1708,Tasa activa corporativos hasta 360 dias (%)
Nov.2015,5.2965,Tasa activa corporativos hasta 360 dias (%)
Dic.2015,5.3838,Tasa activa corporativos hasta 360 dias (%)
Ene.2016,5.4402,Tasa activa corporativos hasta 360 dias (%)
Feb.2016,5.4821,Tasa activa corporativos hasta 360 dias (%)
Mar.2016,5.7025,Tasa activa corporativos hasta 360 dias (%)
Abr.2016,5.9006,Tasa activa corporativos hasta 360 dias (%)
May.2016,5.9633,Tasa activa corporativos hasta 360 dias (%)
Jun.2016,5.9985,Tasa activa corporativos hasta 360 dias (%)
Jul.2016,6.0525,Tasa activa corporativos hasta 360 dias (%)
Ago.2016,5.9337,Tasa activa corporativos hasta 360 dias (%)
Sep.2016,5.8729,Tasa activa corporativos hasta 360 dias (%)
Oct.2016,5.8047,Tasa activa corporativos hasta 360 dias (%)
Nov.2016,5.6949,Tasa activa corporativos hasta 360 dias (%)
Dic.2016,5.6663,Tasa activa corporativos hasta 360 dias (%)
Ene.2017,5.7431,Tasa activa corporativos hasta 360 dias (%)
Feb.2017,5.7881,Tasa activa corporativos hasta 360 dias (%)
Mar.2017,5.6899,Tasa activa corporativos hasta 360 dias (%)
Abr.2017,5.6614,Tasa activa corporativos hasta 360 dias (%)
May.2017,5.5007,Tasa activa corporativos hasta 360 dias (%)
Jun.2017,5.3905,Tasa activa corporativos hasta 360 dias (%)
Jul.2017,5.119,Tasa activa corporativos hasta 360 dias (%)
Ago.2017,4.7921,Tasa activa corporativos hasta 360 dias (%)
Sep.2017,4.6087,Tasa activa corporativos hasta 360 dias (%)
Oct.2017,4.3114,Tasa activa corporativos hasta 360 dias (%)
Nov.2017,4.1162,Tasa activa corporativos hasta 360 dias (%)
Dic.2017,3.8263,Tasa activa corporativos hasta 360 dias (%)
Ene.2018,3.7951,Tasa activa corporativos hasta 360 dias (%)
Feb.2018,3.8031,Tasa activa corporativos hasta 360 dias (%)
Mar.2018,3.6891,Tasa activa corporativos hasta 360 dias (%)
Abr.2018,3.5928,Tasa activa corporativos hasta 360 dias (%)
May.2018,3.4644,Tasa activa corporativos hasta 360 dias (%)
Jun.2018,3.4074,Tasa activa corporativos hasta 360 dias (%)
Jul.2018,3.4195,Tasa activa corporativos hasta 360 dias (%)
Ago.2018,3.5439,Tasa activa corporativos hasta 360 dias (%)
Sep.2018,3.6392,Tasa activa corporativos hasta 360 dias (%)
Oct.2018,3.9731,Tasa activa corporativos hasta 360 dias (%)
Nov.2018,4.0151,Tasa activa corporativos hasta 360 dias (%)
Dic.2018,4.164,Tasa activa corporativos hasta 360 dias (%)
Ene.2019,4.4384,Tasa activa corporativos hasta 360 dias (%)
Feb.2019,4.57,Tasa activa corporativos hasta 360 dias (%)
Mar.2019,4.6289,Tasa activa corporativos hasta 360 dias (%)
Abr.2019,4.5937,Tasa activa corporativos hasta 360 dias (%)
May.2019,4.499,Tasa activa corporativos hasta 360 dias (%)
Jun.2019,4.4949,Tasa activa corporativos hasta 360 dias (%)
Jul.2019,4.4771,Tasa activa corporativos hasta 360 dias (%)
Ago.2019,4.2618,Tasa activa corporativos hasta 360 dias (%)
Sep.2019,4.0412,Tasa activa corporativos hasta 360 dias (%)
Oct.2019,3.791,Tasa activa corporativos hasta 360 dias (%)
Nov.2019,3.6886,Tasa activa corporativos hasta 360 dias (%)
Dic.2019,3.5977,Tasa activa corporativos hasta 360 dias (%)
Ene.2020,3.5762,Tasa activa corporativos hasta 360 dias (%)
Feb.2020,3.5375,Tasa activa corporativos hasta 360 dias (%)
Mar.2020,3.568,Tasa activa corporativos hasta 360 dias (%)
Abr.2020,3.8553,Tasa activa corporativos hasta 360 dias (%)
May.2020,3.8015,Tasa activa corporativos hasta 360 dias (%)
Jun.2020,3.6856,Tasa activa corporativos hasta 360 dias (%)
Jul.2020,3.4658,Tasa activa corporativos hasta 360 dias (%)
Ago.2020,3.3547,Tasa activa corporativos hasta 360 dias (%)
Sep.2020,3.2454,Tasa activa corporativos hasta 360 dias (%)
Oct.2020,2.7314,Tasa activa corporativos hasta 360 dias (%)
Nov.2020,2.4498,Tasa activa corporativos hasta 360 dias (%)
Dic.2020,2.2166,Tasa activa corporativos hasta 360 dias (%)
Ene.2021,1.9964,Tasa activa corporativos hasta 360 dias (%)
Feb.2021,1.6542,Tasa activa corporativos hasta 360 dias (%)
Mar.2021,1.6908,Tasa activa corporativos hasta 360 dias (%)
Abr.2021,1.6853,Tasa activa corporativos hasta 360 dias (%)
May.2021,1.5923,Tasa activa corporativos hasta 360 dias (%)
Jun.2021,1.4604,Tasa activa corporativos hasta 360 dias (%)
Jul.2021,1.445,Tasa activa corporativos hasta 360 dias (%)
Ago.2021,1.473,Tasa activa corporativos hasta 360 dias (%)
Sep.2021,1.4922,Tasa activa corporativos hasta 360 dias (%)
Oct.2021,1.6664,Tasa activa corporativos hasta 360 dias (%)
Nov.2021,1.8417,Tasa activa corporativos hasta 360 dias (%)
Dic.2021,2.163,Tasa activa corporativos hasta 360 dias (%)
Ene.2022,2.8605,Tasa activa corporativos hasta 360 dias (%)
Feb.2022,3.284,Tasa activa corporativos hasta 360 dias (%)
Mar.2022,3.8207,Tasa activa corporativos hasta 360 dias (%)
