periodo,valor,serie
Ene.2015,6.3694,Tasa activa grandes empresas hasta 360 dias (%)
Feb.2015,6.404,Tasa activa grandes empresas hasta 360 dias (%)
Mar.2015,6.4022,Tasa activa grandes empresas hasta 360 dias (%)
Abr.2015,6.5113,Tasa activa grandes empresas hasta 360 dias (%)
May.2015,6.4333,Tasa activa grandes empresas hasta 360 dias (%)
Jun.2015,6.38,Tasa activa grandes empresas hasta 360 dias (%)
Jul.2015,6.3677,Tasa activa grandes empresas hasta 360 dias (%)
Ago.2015,6.4673,Tasa activa grandes empresas hasta 360 dias (%)
Sep.2015,6.6324,Tasa activa grandes empresas hasta 360 dias (%)
Oct.2015,6.7446,Tasa activa grandes empresas hasta 360 dias (%)
Nov.2015,6.8506,Tasa activa grandes empresas hasta 360 dias (%)
Dic.2015,6.8898,Tasa activa grandes empresas hasta 360 dias (%)
Ene.2016,6.996,Tasa activa grandes empresas hasta 360 dias (%)
Feb.2016,7.0944,Tasa activa grandes empresas hasta 360 dias (%)
Mar.2016,7.1795,Tasa activa grandes empresas hasta 360 dias (%)
Abr.2016,7.271,Tasa activa grandes empresas hasta 360 dias (%)
May.2016,7.3449,Tasa activa grandes empresas hasta 360 dias (%)
Jun.2016,7.4527,Tasa activa grandes empresas hasta 360 dias (%)
Jul.2016,7.4754,Tasa activa grandes empresas hasta 360 dias (%)
Ago.2016,7.4465,Tasa activa grandes empresas hasta 360 dias (%)
Sep.2016,7.4108,Tasa activa grandes empresas hasta 360 dias (%)
Oct.2016,7.3723,Tasa activa grandes empresas hasta 360 dias (%)
Nov.2016,7.3842,Tasa activa grandes empresas hasta 360 dias (%)
Dic.2016,7.3358,Tasa activa grandes empresas hasta 360 dias (%)
Ene.2017,7.3248,Tasa activa grandes empresas hasta 360 dias (%)
Feb.2017,7.3343,Tasa activa grandes empresas hasta 360 dias (%)
Mar.2017,7.3077,Tasa activa grandes empresas hasta 360 dias (%)
Abr.2017,7.2684,Tasa activa grandes empresas hasta 360 dias (%)
May.2017,7.2675,Tasa activa grandes empresas hasta 360 dias (%)
Jun.2017,7.2029,Tasa activa grandes empresas hasta 360 dias (%)
Jul.2017,7.1683,Tasa activa grandes empresas hasta 360 dias (%)
Ago.2017,7.0483,Tasa activa grandes empresas hasta 360 dias (%)
Sep.2017,6.959,Tasa activa grandes empresas hasta 360 dias (%)
Oct.2017,6.9003,Tasa activa grandes empresas hasta 360 dias (%)
Nov.2017,6.7724,Tasa activa grandes empresas hasta 360 dias (%)
Dic.2017,6.5562,Tasa activa grandes empresas hasta 360 dias (%)
Ene.2018,6.5241,Tasa activa grandes empresas hasta 360 dias (%)
Feb.2018,6.5584,Tasa activa grandes empresas hasta 360 dias (%)
Mar.2018,6.3776,Tasa activa grandes empresas hasta 360 dias (%)
Abr.2018,6.2508,Tasa activa grandes empresas hasta 360 dias (%)
May.2018,6.1675,Tasa activa grandes empresas hasta 360 dias (%)
Jun.2018,6.1372,Tasa activa grandes empresas hasta 360 dias (%)
Jul.2018,6.209,Tasa activa grandes empresas hasta 360 dias (%)
Ago.2018,6.2323,Tasa activa grandes empresas hasta 360 dias (%)
Sep.2018,6.2356,Tasa activa grandes empresas hasta 360 dias (%)
Oct.2018,6.2889,Tasa activa grandes empresas hasta 360 dias (%)
Nov.2018,6.3313,Tasa activa grandes empresas hasta 360 dias (%)
Dic.2018,6.3791,Tasa activa grandes empresas hasta 360 dias (%)
Ene.2019,6.473,Tasa activa grandes empresas hasta 360 dias (%)
Feb.2019,6.6036,Tasa activa grandes empresas hasta 360 dias (%)
Mar.2019,6.5733,Tasa activa grandes empresas hasta 360 dias (%)
Abr.2019,6.4211,Tasa activa grandes empresas hasta 360 dias (%)
May.2019,6.4023,Tasa activa grandes empresas hasta 360 dias (%)
Jun.2019,6.4216,Tasa activa grandes empresas hasta 360 dias (%)
Jul.2019,6.3211,Tasa activa grandes empresas hasta 360 dias (%)
Ago.2019,6.2987,Tasa activa grandes empresas hasta 360 dias (%)
Sep.2019,6.1738,Tasa activa grandes empresas hasta 360 dias (%)
Oct.2019,6.0447,Tasa activa grandes empresas hasta 360 dias (%)
Nov.2019,5.8615,Tasa activa grandes empresas hasta 360 dias (%)
Dic.2019,5.7394,Tasa activa grandes empresas hasta 360 dias (%)
Ene.2020,5.6964,Tasa activa grandes empresas hasta 360 dias (%)
Feb.2020,5.6181,Tasa activa grandes empresas hasta 360 dias (%)
Mar.2020,5.5692,Tasa activa grandes empresas hasta 360 dias (%)
Abr.2020,5.5336,Tasa activa grandes empresas hasta 360 dias (%)
May.2020,5.3626,Tasa activa grandes empresas hasta 360 dias (%)
Jun.2020,5.1847,Tasa activa grandes empresas hasta 360 dias (%)
Jul.2020,5.0855,Tasa activa grandes empresas hasta 360 dias (%)
Ago.2020,5.0009,Tasa activa grandes empresas hasta 360 dias (%)
Sep.2020,4.7211,Tasa activa grandes empresas hasta 360 dias (%)
Oct.2020,4.594,Tasa activa grandes empresas hasta 360 dias (%)
Nov.2020,4.4324,Tasa activa grandes empresas hasta 360 dias (%)
Dic.2020,4.3064,Tasa activa grandes empresas hasta 360 dias (%)
Ene.2021,4.2766,Tasa activa grandes empresas hasta 360 dias (%)
Feb.2021,4.2251,Tasa activa grandes empresas hasta 360 dias (%)
Mar.2021,4.0033,Tasa activa grandes empresas hasta 360 dias (%)
Abr.2021,3.8521,Tasa activa grandes empresas hasta 360 dias (%)
May.2021,3.6054,Tasa activa grandes empresas hasta 360 dias (%)
Jun.2021,3.6743,Tasa activa grandes empresas hasta 360 dias (%)
Jul.2021,3.4935,Tasa activa grandes empresas hasta 360 dias (%)
Ago.2021,3.4845,Tasa activa grandes empresas hasta 360 dias (%)
Sep.2021,3.4859,Tasa activa grandes empresas hasta 360 dias (%)
Oct.2021,3.6462,Tasa activa grandes empresas hasta 360 dias (%)
Nov.2021,3.9561,Tasa activa grandes empresas hasta 360 dias (%)
Dic.2021,4.3113,Tasa activa grandes empresas hasta 360 dias (%)
Ene.2022,4.6694,Tasa activa grandes empresas hasta 360 dias (%)
Feb.2022,5.0419,Tasa activa grandes empresas hasta 360 dias (%)
Mar.2022,5.5104,Tasa activa grandes empresas hasta 360 dias (%)
Abr.2022,5.9004,Tasa activa grandes empresas hasta 360 dias (%)
May.2022,6.3572,Tasa activa grandes empresas hasta 360 dias (%)
Jun.2022,6.9153,Tasa activa grandes empresas hasta 360 dias (%)
Jul.2022,7.5157,Tasa activa grandes empresas hasta 360 dias (%)
Ago.2022,8.0545,Tasa activa grandes empresas hasta 360 dias (%)
Sep.2022,8.5277,Tasa activa grandes empresas hasta 360 dias (%)
Oct.2022,8.9274,Tasa activa grandes empresas hasta 360 dias (%)
Nov.2022,9.2119,Tasa activa grandes empresas hasta 360 dias (%)
Dic.2022,9.5558,Tasa activa grandes empresas hasta 360 dias (%)
Ene.2023,9.9639,Tasa activa grandes empresas hasta 360 dias (%)
Feb.2023,10.2831,Tasa activa grandes empresas hasta 360 dias (%)
Mar.2023,10.3975,Tasa activa grandes empresas hasta 360 dias (%)
Abr.2023,10.4694,Tasa activa grandes empresas hasta 360 dias (%)
May.2023,10.4555,Tasa activa grandes empresas hasta 360 dias (%)
Jun.2023,10.4999,Tasa activa grandes empresas hasta 360 dias (%)
Jul.2023,10.5201,Tasa activa grandes empresas hasta 360 dias (%)
Ago.2023,10.5108,Tasa activa grandes empresas hasta 360 dias (%)
Sep.2023,10.4707,Tasa activa grandes empresas hasta 360 dias (%)
Oct.2023,10.4441,Tasa activa grandes empresas hasta 360 dias (%)
Nov.2023,10.2287,Tasa activa grandes empresas hasta 360 dias (%)
Dic.2023,10.0903,Tasa activa grandes empresas hasta 360 dias (%)
Ene.2024,9.9518,Tasa activa grandes empresas hasta 360 dias (%)
Feb.2024,9.6983,Tasa activa grandes empresas hasta 360 dias (%)
Mar.2024,9.3736,Tasa activa grandes empresas hasta 360 dias (%)
Abr.2024,9.0425,Tasa activa grandes empresas hasta 360 dias (%)
May.2024,8.8284,Tasa activa grandes empresas hasta 360 dias (%)
Jun.2024,8.6742,Tasa activa grandes empresas hasta 360 dias (%)
Jul.2024,8.5513,Tasa activa grandes empresas hasta 360 dias (%)
Ago.2024,8.2529,Tasa activa grandes empresas hasta 360 dias (%)
Sep.2024,8.0876,Tasa activa grandes empresas hasta 360 dias (%)
Oct.2024,8.031,Tasa activa grandes empresas hasta 360 dias (%)
