periodo,valor,serie
Ene.2015,18.9519,Tasa de interes pasiva ahorro plazo (%)
Feb.2015,18.5175,Tasa de interes pasiva ahorro plazo (%)
Mar.2015,19.8019,Tasa de interes pasiva ahorro plazo (%)
Abr.2015,18.5353333333333,Tasa de interes pasiva ahorro plazo (%)
May.2015,19.3555,Tasa de interes pasiva ahorro plazo (%)
Jun.2015,20.6777,Tasa de interes pasiva ahorro plazo (%)
Jul.2015,18.7274,Tasa de interes pasiva ahorro plazo (%)
Ago.2015,19.1932,Tasa de interes pasiva ahorro plazo (%)
Sep.2015,18.705,Tasa de interes pasiva ahorro plazo (%)
Oct.2015,18.649,Tasa de interes pasiva ahorro plazo (%)
Nov.2015,19.742,Tasa de interes pasiva ahorro plazo (%)
Dic.2015,20.156,Tasa de interes pasiva ahorro plazo (%)
Ene.2016,20.1552,Tasa de interes pasiva ahorro plazo (%)
Feb.2016,20.9172,Tasa de interes pasiva ahorro plazo (%)
Mar.2016,21.001,Tasa de interes pasiva ahorro plazo (%)
Abr.2016,20.234,Tasa de interes pasiva ahorro plazo (%)
May.2016,20.9174,Tasa de interes pasiva ahorro plazo (%)
Jun.2016,21.13,Tasa de interes pasiva ahorro plazo (%)
Jul.2016,20.0245,Tasa de interes pasiva ahorro plazo (%)
Ago.2016,20.4639,Tasa de interes pasiva ahorro plazo (%)
Sep.2016,21.016,Tasa de interes pasiva ahorro plazo (%)
Oct.2016,21.3606,Tasa de interes pasiva ahorro plazo (%)
Nov.2016,21.0817,Tasa de interes pasiva ahorro plazo (%)
Dic.2016,21.1516,Tasa de interes pasiva ahorro plazo (%)
Ene.2017,21.5519,Tasa de interes pasiva ahorro plazo (%)
Feb.2017,21.7857,Tasa de interes pasiva ahorro plazo (%)
Mar.2017,22.0777,Tasa de interes pasiva ahorro plazo (%)
Abr.2017,21.217,Tasa de interes pasiva ahorro plazo (%)
May.2017,22.7819,Tasa de interes pasiva ahorro plazo (%)
Jun.2017,22.7557,Tasa de interes pasiva ahorro plazo (%)
Jul.2017,22.2,Tasa de interes pasiva ahorro plazo (%)
Ago.2017,22.3397,Tasa de interes pasiva ahorro plazo (%)
Sep.2017,23.972,Tasa de interes pasiva ahorro plazo (%)
Oct.2017,23.0719,Tasa de interes pasiva ahorro plazo (%)
Nov.2017,23.1387,Tasa de interes pasiva ahorro plazo (%)
Dic.2017,21.8255,Tasa de interes pasiva ahorro plazo (%)
Ene.2018,22.5555,Tasa de interes pasiva ahorro plazo (%)
Feb.2018,22.9814,Tasa de interes pasiva ahorro plazo (%)
Mar.2018,21.8474,Tasa de interes pasiva ahorro plazo (%)
Abr.2018,19.862,Tasa de interes pasiva ahorro plazo (%)
May.2018,19.7106,Tasa de interes pasiva ahorro plazo (%)
Jun.2018,20.4167,Tasa de interes pasiva ahorro plazo (%)
Jul.2018,20.5003,Tasa de interes pasiva ahorro plazo (%)
Ago.2018,20.4965,Tasa de interes pasiva ahorro plazo (%)
Sep.2018,20.639,Tasa de interes pasiva ahorro plazo (%)
Oct.2018,20.1258,Tasa de interes pasiva ahorro plazo (%)
Nov.2018,20.19,Tasa de interes pasiva ahorro plazo (%)
Dic.2018,20.9655,Tasa de interes pasiva ahorro plazo (%)
Ene.2019,20.0642,Tasa de interes pasiva ahorro plazo (%)
Feb.2019,20.8411,Tasa de interes pasiva ahorro plazo (%)
Mar.2019,21.0161,Tasa de interes pasiva ahorro plazo (%)
Abr.2019,20.6223,Tasa de interes pasiva ahorro plazo (%)
May.2019,20.9297,Tasa de interes pasiva ahorro plazo (%)
Jun.2019,20.7073,Tasa de interes pasiva ahorro plazo (%)
Jul.2019,19.7023,Tasa de interes pasiva ahorro plazo (%)
Ago.2019,20.1784,Tasa de interes pasiva ahorro plazo (%)
Sep.2019,19.7747,Tasa de interes pasiva ahorro plazo (%)
Oct.2019,18.4839,Tasa de interes pasiva ahorro plazo (%)
Nov.2019,18.42,Tasa de interes pasiva ahorro plazo (%)
Dic.2019,18.6965,Tasa de interes pasiva ahorro plazo (%)
Ene.2020,18.4961,Tasa de interes pasiva ahorro plazo (%)
Feb.2020,20.0272,Tasa de interes pasiva ahorro plazo (%)
Mar.2020,18.8097,Tasa de interes pasiva ahorro plazo (%)
Abr.2020,13.826,Tasa de interes pasiva ahorro plazo (%)
May.2020,8.0974,Tasa de interes pasiva ahorro plazo (%)
Jun.2020,7.0577,Tasa de interes pasiva ahorro plazo (%)
Jul.2020,11.0542,Tasa de interes pasiva ahorro plazo (%)
Ago.2020,9.9342,Tasa de interes pasiva ahorro plazo (%)
Sep.2020,11.0773,Tasa de interes pasiva ahorro plazo (%)
Oct.2020,12.559,Tasa de interes pasiva ahorro plazo (%)
Nov.2020,14.6133,Tasa de interes pasiva ahorro plazo (%)
Dic.2020,17.4,Tasa de interes pasiva ahorro plazo (%)
Ene.2021,18.649,Tasa de interes pasiva ahorro plazo (%)
