periodo,valor,serie
Ene.2015,3.25,Tasa de referencia de la politica monetaria (%)
Feb.2015,3.25,Tasa de referencia de la politica monetaria (%)
Mar.2015,3.25,Tasa de referencia de la politica monetaria (%)
Abr.2015,3.25,Tasa de referencia de la politica monetaria (%)
May.2015,3.25,Tasa de referencia de la politica monetaria (%)
Jun.2015,3.25,Tasa de referencia de la politica monetaria (%)
Jul.2015,3.25,Tasa de referencia de la politica monetaria (%)
Ago.2015,3.25,Tasa de referencia de la politica monetaria (%)
Sep.2015,3.5,Tasa de referencia de la politica monetaria (%)
Oct.2015,3.5,Tasa de referencia de la politica monetaria (%)
Nov.2015,3.5,Tasa de referencia de la politica monetaria (%)
Dic.2015,3.75,Tasa de referencia de la politica monetaria (%)
Ene.2016,4.0,Tasa de referencia de la politica monetaria (%)
Feb.2016,4.25,Tasa de referencia de la politica monetaria (%)
Mar.2016,4.25,Tasa de referencia de la politica monetaria (%)
Abr.2016,4.25,Tasa de referencia de la politica monetaria (%)
May.2016,4.25,Tasa de referencia de la politica monetaria (%)
Jun.2016,4.25,Tasa de referencia de la politica monetaria (%)
Jul.2016,4.25,Tasa de referencia de la politica monetaria (%)
Ago.2016,4.25,Tasa de referencia de la politica monetaria (%)
Sep.2016,4.25,Tasa de referencia de la politica monetaria (%)
Oct.2016,4.25,Tasa de referencia de la politica monetaria (%)
Nov.2016,4.25,Tasa de referencia de la politica monetaria (%)
Dic.2016,4.25,Tasa de referencia de la politica monetaria (%)
Ene.2017,4.25,Tasa de referencia de la politica monetaria (%)
Feb.2017,4.25,Tasa de referencia de la politica monetaria (%)
Mar.2017,4.25,Tasa de referencia de la politica monetaria (%)
Abr.2017,4.25,Tasa de referencia de la politica monetaria (%)
May.2017,4.0,Tasa de referencia de la politica monetaria (%)
Jun.2017,4.0,Tasa de referencia de la politica monetaria (%)
Jul.2017,3.75,Tasa de referencia de la politica monetaria (%)
Ago.2017,3.75,Tasa de referencia de la politica monetaria (%)
Sep.2017,3.5,Tasa de referencia de la politica monetaria (%)
Oct.2017,3.5,Tasa de referencia de la politica monetaria (%)
Nov.2017,3.25,Tasa de referencia de la politica monetaria (%)
Dic.2017,3.25,Tasa de referencia de la politica monetaria (%)
Ene.2018,3.0,Tasa de referencia de la politica monetaria (%)
Feb.2018,3.0,Tasa de referencia de la politica monetaria (%)
Mar.2018,2.75,Tasa de referencia de la politica monetaria (%)
Abr.2018,2.75,Tasa de referencia de la politica monetaria (%)
May.2018,2.75,Tasa de referencia de la politica monetaria (%)
Jun.2018,2.75,Tasa de referencia de la politica monetaria (%)
Jul.2018,2.75,Tasa de referencia de la politica monetaria (%)
Ago.2018,2.75,Tasa de referencia de la politica monetaria (%)
Sep.2018,2.75,Tasa de referencia de la politica monetaria (%)
Oct.2018,2.75,Tasa de referencia de la politica monetaria (%)
Nov.2018,2.75,Tasa de referencia de la politica monetaria (%)
Dic.2018,2.75,Tasa de referencia de la politica monetaria (%)
Ene.2019,2.75,Tasa de referencia de la politica monetaria (%)
Feb.2019,2.75,Tasa de referencia de la politica monetaria (%)
Mar.2019,2.75,Tasa de referencia de la politica monetaria (%)
Abr.2019,2.75,Tasa de referencia de la politica monetaria (%)
May.2019,2.75,Tasa de referencia de la politica monetaria (%)
Jun.2019,2.75,Tasa de referencia de la politica monetaria (%)
Jul.2019,2.75,Tasa de referencia de la politica monetaria (%)
Ago.2019,2.5,Tasa de referencia de la politica monetaria (%)
Sep.2019,2.5,Tasa de referencia de la politica monetaria (%)
Oct.2019,2.5,Tasa de referencia de la politica monetaria (%)
Nov.2019,2.25,Tasa de referencia de la politica monetaria (%)
Dic.2019,2.25,Tasa de referencia de la politica monetaria (%)
Ene.2020,2.25,Tasa de referencia de la politica monetaria (%)
Feb.2020,2.25,Tasa de referencia de la politica monetaria (%)
Mar.2020,1.25,Tasa de referencia de la politica monetaria (%)
Abr.2020,0.25,Tasa de referencia de la politica monetaria (%)
May.2020,0.25,Tasa de referencia de la politica monetaria (%)
Jun.2020,0.25,Tasa de referencia de la politica monetaria (%)
Jul.2020,0.25,Tasa de referencia de la politica monetaria (%)
Ago.2020,0.25,Tasa de referencia de la politica monetaria (%)
Sep.2020,0.25,Tasa de referencia de la politica monetaria (%)
Oct.2020,0.25,Tasa de referencia de la politica monetaria (%)
